,size,lr,wd,best_auc
0,448,0.001,0.0,0.8763308525085449
1,448,0.001,0.1,0.8597460985183716
2,448,0.001,0.01,0.8685504198074341
3,448,0.001,0.001,0.8853398561477661
4,448,0.001,0.0001,0.8517608642578125
5,448,0.001,1e-05,0.8687551021575928
6,448,0.0001,0.0,0.8202292919158936
7,448,0.0001,0.1,0.7076166868209839
8,448,0.0001,0.01,0.8081490397453308
9,448,0.0001,0.001,0.8048730492591858
10,448,0.0001,0.0001,0.797911524772644
11,448,0.0001,1e-05,0.7768222689628601
12,448,1e-05,0.0,0.6359541416168213
13,448,1e-05,0.1,0.6599099040031433
14,448,1e-05,0.01,0.6615478992462158
15,448,1e-05,0.001,0.6404587030410767
16,448,1e-05,0.0001,0.6683046817779541
17,448,1e-05,1e-05,0.6713758707046509
18,448,0.1,0.0,0.5666462182998657
19,448,0.1,0.1,0.5
20,448,0.1,0.01,0.5
21,448,0.1,0.001,0.7094594240188599
22,448,0.1,0.0001,0.6439906358718872
23,448,0.1,1e-05,0.49047911167144775
24,448,0.01,0.0,0.8361998796463013
25,448,0.01,0.1,0.6594492197036743
26,448,0.01,0.01,0.8069205284118652
27,448,0.01,0.001,0.8503276109695435
28,448,0.01,0.0001,0.854832112789154
29,448,0.01,1e-05,0.84950852394104
